Time,,1_Stock,1_Exit Rate,,3_Stock,3_Exit Rate,,4_Stock,4_Exit Rate,,5_Stock,5_Exit Rate,,6_Stock,6_Exit Rate,,7_Stock,7_Exit Rate
0,,100,10,,100,0,,100,0,,100,0,,100,0,,100,0
0.1,,99.00498337,9.900498337,,100.0445534,0,,100.0789439,0,,100.1229425,0,,100.1764534,0,,100.239382,0
0.2,,98.01986733,9.801986733,,100.08779,0.027,,100.1547924,0,,100.2398889,0,,100.3426309,0,,100.4625803,0
0.3,,97.04455335,9.704455335,,100.1270487,0.078582029,,100.2276668,0.00256,,100.3511319,0,,100.499131,0,,100.670689,0
0.4,,96.07894392,9.607894392,,100.1599092,0.152472479,,100.2974278,0.009832421,,100.4569494,0.0003125,,100.6465172,0,,100.8647283,0
0.5,,95.12294245,9.512294245,,100.1841773,0.246534921,,100.3637161,0.023602662,,100.5575749,0.001484759,,100.7853203,0.000046656,,101.0454812,0
0.6,,94.17645336,9.417645336,,100.1978712,0.358763242,,100.4259897,0.04532643,,100.6531741,0.004232659,,100.9160355,0.000263222,,101.2133889,8.23543E-06
0.7,,93.23938199,9.323938199,,100.199209,0.487275098,,100.4835565,0.076164063,,100.7438289,0.009384824,,101.0391165,0.000866272,,101.3684914,5.36324E-05
0.8,,92.31163464,9.231163464,,100.1865957,0.630305651,,100.5356046,0.117012064,,100.8295265,0.017835783,,101.154968,0.002172135,,101.5104042,0.000199586
0.9,,91.39311853,9.139311853,,100.158612,0.786201599,,100.5812285,0.168532034,,100.9101537,0.030507088,,101.2639372,0.004595503,,101.6383225,0.000557049
1,,90.4837418,9.04837418,,100.114003,0.953415466,,100.6194526,0.231177198,,100.9854945,0.048315401,,101.3663056,0.008642251,,101.7510449,0.001295616
1.1,,89.58341353,8.958341353,,100.0516674,1.130500167,,100.6492525,0.30521669,,101.0552314,0.07214668,,101.462281,0.014898144,,101.8470125,0.002651806
1.2,,88.69204367,8.869204367,,99.97064784,1.316103803,,100.6695736,0.390757759,,101.1189483,0.102835661,,101.5519913,0.024014816,,101.9243567,0.004934176
1.3,,87.80954309,8.780954309,,99.87012128,1.508964712,,100.679347,0.48776605,,101.176137,0.141149954,,101.6354789,0.036694126,,101.9809539,0.008525165
1.4,,86.93582354,8.693582354,,99.74938996,1.707906734,,100.6775042,0.596084099,,101.2262036,0.187778103,,101.7126968,0.053671783,,102.0144824,0.013879818
1.5,,86.07079764,8.607079764,,99.60787293,1.911834702,,100.6629893,0.715448172,,101.2684772,0.243321067,,101.7835064,0.075700938,,102.02248,0.021521646
1.6,,85.2143789,8.52143789,,99.44509793,2.119730139,,100.6347698,0.845503576,,101.302219,0.308286609,,101.8476769,0.103536283,,102.0024008,0.032036015
1.7,,84.36648166,8.436648166,,99.2606938,2.33064716,,100.591846,0.985818548,,101.3266319,0.383086158,,101.904886,0.137919058,,101.9516683,0.046061468
1.8,,83.52702114,8.352702114,,99.05438317,2.543708553,,100.5332584,1.135896844,,101.3408707,0.468033759,,101.9547222,0.179563271,,101.8677254,0.064279447
1.9,,82.69591339,8.269591339,,98.82597571,2.758102062,,100.4580949,1.295189109,,101.344052,0.563346747,,101.9966887,0.229143306,,101.7480805,0.087402837
2,,81.87307531,8.187307531,,98.57536156,2.973076824,,100.3654954,1.463103138,,101.3352643,0.669147858,,102.0302075,0.287283076,,101.5903475,0.116163764
2.1,,81.0584246,8.10584246,,98.30250527,3.187939997,,100.2546569,1.639013106,,101.3135775,0.785468502,,102.0546259,0.354546756,,101.3922815,0.151301051
2.2,,80.2518798,8.02518798,,98.00744003,3.402053523,,100.1248365,1.822267846,,101.2780528,0.912252952,,102.069223,0.43143112,,101.1518098,0.193547658
2.3,,79.45336025,7.945336025,,97.69026213,3.614831071,,99.97535427,2.012198261,,101.2277515,1.049363272,,102.0732168,0.518359452,,100.8670565,0.24361844
2.4,,78.66278611,7.866278611,,97.35112592,3.825735104,,99.8055951,2.20812393,,101.1617433,1.196584774,,102.0657727,0.615676981,,100.5363634,0.302198469
2.5,,77.88007831,7.788007831,,96.99023886,4.034274101,,99.61500977,2.409358974,,101.0791144,1.353631874,,102.0460117,0.723647746,,100.1583056,0.369932152
2.6,,77.10515858,7.710515858,,96.60785696,4.239999907,,99.40311571,2.615217255,,100.9789748,1.520154204,,102.013019,0.842452807,,99.7317026,0.447413295
2.7,,76.33794943,7.633794943,,96.2042805,4.442505215,,99.16949708,2.825016941,,100.8604651,1.695742864,,101.9658529,0.972189688,,99.25562598,0.535176277
2.8,,75.57837415,7.557837415,,95.7798499,4.641421167,,98.91380439,3.038084516,,100.7227624,1.879936726,,101.9035538,1.112872937,,98.72940257,0.633688387
2.9,,74.82635676,7.482635676,,95.33494193,4.836415075,,98.63575374,3.253758266,,100.565086,2.072228706,,101.8251529,1.264435685,,98.15261473,0.743343414
3,,74.08182207,7.408182207,,94.86996612,5.027188253,,98.33512574,3.471391287,,100.3867018,2.272071927,,101.7296805,1.426732081,,97.52509748,0.864456498
3.1,,73.34469562,7.334469562,,94.38536134,5.21347396,,98.01176406,3.690354074,,100.1869267,2.478885735,,101.6161748,1.599540498,,96.84693305,0.997260241
3.2,,72.61490371,7.261490371,,93.88159263,5.395035435,,97.66557378,3.910036698,,99.96513245,2.692061504,,101.4836897,1.782567369,,96.11844314,1.14190206
3.3,,71.89237334,7.189237334,,93.35914825,5.571664045,,97.29651946,4.129850648,,99.72074796,2.910968204,,101.3313023,1.975451581,,95.34017919,1.298442726
3.4,,71.17703228,7.117703228,,92.81853684,5.743177515,,96.90462311,4.349230327,,99.45326222,3.134957702,,101.1581199,2.177769283,,94.51291112,1.46685604
3.5,,70.46880897,7.046880897,,92.2602848,5.909418249,,96.48996188,4.567634274,,99.16222601,3.363369775,,100.963287,2.389039043,,93.63761465,1.647029563
3.6,,69.76763261,6.976763261,,91.68493388,6.070251743,,96.05266578,4.784546112,,98.84725323,3.595536816,,100.7459909,2.60872725,,92.71545767,1.838766316
