Time,Actual Input,,Change in Expected Input,Expected Input,,3_Change in Expected Input,3_Expected Input
0,200,,0,100,,0,100
0.1,200,,10,100,,0,100
0.2,200,,10,101,,0,100
0.3,200,,9.9,101.99,,0,100
0.4,200,,9.801,102.9701,,0.027,100.0027
0.5,200,,9.70299,103.940399,,0.07857,100.010557
0.6,200,,9.6059601,104.900995,,0.1524258,100.0257996
0.7,200,,9.509900499,105.8519851,,0.24642171,100.0504418
0.8,200,,9.414801494,106.7934652,,0.358543588,100.0862961
0.9,200,,9.320653479,107.7255306,,0.486902193,100.1349863
1,200,,9.227446944,108.6482753,,0.629726836,100.197959
1.1,200,,9.135172475,109.5617925,,0.785359325,100.2764949
1.2,200,,9.04382075,110.4661746,,0.952248182,100.3717198
1.3,200,,8.953382543,111.3615128,,1.128943122,100.4846141
1.4,200,,8.863848717,112.2478977,,1.314089794,100.6160231
1.5,200,,8.77521023,113.1254187,,1.506424755,100.7666655
1.6,200,,8.687458128,113.9941645,,1.704770681,100.9371426
1.7,200,,8.600583546,114.8542229,,1.908031801,101.1279458
1.8,200,,8.514577711,115.7056807,,2.115189539,101.3394647
1.9,200,,8.429431934,116.5486239,,2.325298367,101.5719946
2,200,,8.345137615,117.3831376,,2.537481842,101.8257428
2.1,200,,8.261686238,118.2093062,,2.750928844,102.1008356
2.2,200,,8.179069376,119.0272132,,2.964889977,102.3973246
2.3,200,,8.097278682,119.836941,,3.178674149,102.7151921
2.4,200,,8.016305895,120.6385716,,3.391645317,103.0543566
2.5,200,,7.936142836,121.4321859,,3.603219382,103.4146785
2.6,200,,7.856781408,122.2178641,,3.812861237,103.7959646
2.7,200,,7.778213594,122.9956854,,4.020081956,104.1979728
2.8,200,,7.700431458,123.7657286,,4.224436122,104.6204165
2.9,200,,7.623427143,124.5280713,,4.425519282,105.0629684
3,200,,7.547192872,125.2827906,,4.622965527,105.5252649
3.1,200,,7.471720943,126.0299627,,4.816445195,106.0069095
3.2,200,,7.397003734,126.769663,,5.005662685,106.5074757
3.3,200,,7.323033697,127.5019664,,5.190354377,107.0265112
3.4,200,,7.24980336,128.2269467,,5.370286662,107.5635398
3.5,200,,7.177305326,128.9446773,,5.545254066,108.1180652
3.6,200,,7.105532273,129.6552305,,5.715077472,108.689573
3.7,200,,7.03447695,130.3586782,,5.879602429,109.2775332
3.8,200,,6.96413218,131.0550914,,6.038697554,109.881403
3.9,200,,6.894490859,131.7445405,,6.192253006,110.5006283
4,200,,6.82554595,132.4270951,,6.34017905,111.1346462
4.1,200,,6.757290491,133.1028241,,6.482404688,111.7828867
4.2,200,,6.689717586,133.7717959,,6.618876366,112.4447743
4.3,200,,6.62282041,134.4340779,,6.749556745,113.11973
4.4,200,,6.556592206,135.0897372,,6.874423545,113.8071723
4.5,200,,6.491026284,135.7388398,,6.993468441,114.5065192
4.6,200,,6.426116021,136.3814514,,7.106696025,115.2171888
4.7,200,,6.361854861,137.0176369,,7.214122825,115.938601
4.8,200,,6.298236312,137.6474605,,7.315776374,116.6701787
4.9,200,,6.235253949,138.2709859,,7.411694331,117.4113481
5,200,,6.172901409,138.888276,,7.501923653,118.1615405
5.1,200,,6.111172395,139.4993933,,7.586519814,118.9201925
5.2,200,,6.050060671,140.1043994,,7.665546062,119.6867471
5.3,200,,5.989560065,140.7033554,,7.739072728,120.4606543
5.4,200,,5.929664464,141.2963218,,7.807176568,121.241372
5.5,200,,5.870367819,141.8833586,,7.869940145,122.028366
5.6,200,,5.811664141,142.464525,,7.927451246,122.8211111
5.7,200,,5.7535475,143.0398798,,7.979802339,123.6190914
5.8,200,,5.696012025,143.609481,,8.027090056,124.4218004
5.9,200,,5.639051905,144.1733861,,8.069414713,125.2287418
6,200,,5.582661385,144.7316523,,8.106879853,126.0394298
6.1,200,,5.526834772,145.2843358,,8.139591824,126.853389
6.2,200,,5.471566424,145.8314924,,8.167659382,127.670155
6.3,200,,5.41685076,146.3731775,,8.191193316,128.4892743
